date,time_period,usage,is_free
2024-12-23,16:30 - 17:00,0.117,No
2024-12-23,17:00 - 17:30,1.206,No
2024-12-23,17:30 - 18:00,1.849,No
2024-12-23,18:00 - 18:30,0.862,No
2024-12-23,18:30 - 19:00,0.064,No
2024-12-23,19:00 - 19:30,0.107,No
2024-12-23,19:30 - 20:00,0.205,No
2024-12-23,20:00 - 20:30,0.065,No
2024-12-23,20:30 - 21:00,0.064,No
2024-12-23,21:00 - 21:30,1.73,Yes
2024-12-23,21:30 - 22:00,2.127,Yes
2024-12-23,22:00 - 22:30,2.059,Yes
2024-12-23,22:30 - 23:00,1.814,Yes
2024-12-23,23:00 - 23:30,0.278,Yes
2024-12-23,23:30 - 00:00,0.048,Yes
2024-12-22,00:00 - 00:30,0.063,No
2024-12-22,00:30 - 01:00,0.048,No
2024-12-22,01:00 - 01:30,0.1,No
2024-12-22,01:30 - 02:00,0.092,No
2024-12-22,02:00 - 02:30,0.06,No
2024-12-22,02:30 - 03:00,0.032,No
2024-12-22,03:00 - 03:30,0.059,No
2024-12-22,03:30 - 04:00,0.029,No
2024-12-22,04:00 - 04:30,0.054,No
2024-12-22,04:30 - 05:00,0.028,No
2024-12-22,05:00 - 05:30,0.047,No
2024-12-22,05:30 - 06:00,0.034,No
2024-12-22,06:00 - 06:30,1.619,Yes
2024-12-22,06:30 - 07:00,1.201,Yes
2024-12-22,07:00 - 07:30,0.027,No
2024-12-22,07:30 - 08:00,0.053,No
2024-12-22,08:00 - 08:30,0.76,No
2024-12-22,08:30 - 09:00,0.184,No
2024-12-22,09:00 - 09:30,0.052,No
2024-12-22,09:30 - 10:00,0.027,No
2024-12-22,10:00 - 10:30,0.099,No
2024-12-22,10:30 - 11:00,0.066,No
2024-12-22,11:00 - 11:30,0.084,No
2024-12-22,11:30 - 12:00,0.091,No
2024-12-22,12:00 - 12:30,0.069,No
2024-12-22,12:30 - 13:00,0.11,No
2024-12-22,13:00 - 13:30,1.833,No
2024-12-22,13:30 - 14:00,0.185,No
2024-12-22,14:00 - 14:30,0.088,No
2024-12-22,14:30 - 15:00,0.028,No
2024-12-22,15:00 - 15:30,0.044,No
2024-12-22,15:30 - 16:00,0.055,No
2024-12-22,16:00 - 16:30,0.027,No
2024-12-22,16:30 - 17:00,0.045,No
2024-12-22,17:00 - 17:30,0.053,No
